,link,text
145,/de/mmr/reference/pre_20121219/source/pre_20121219.de.pdf,Beförderungen bei der Schweizerischen Nationalbank 
146,/de/mmr/reference/pre_20121218/source/pre_20121218.de.pdf,Schweizerische Nationalbank eröffnet Niederlassung in Singapur
147,/de/mmr/reference/pre_20121214_1/source/pre_20121214_1.de.pdf,Auslandvermögen der Schweiz 2011
148,/de/mmr/reference/pre_20121214_2/source/pre_20121214_2.de.pdf,Direktinvestitionen 2011
149,/de/mmr/reference/pre_20121213_2/source/pre_20121213_2.de.pdf,Zentralbanken verlängern Swap-Abkommen bis Februar 2014
150,/de/mmr/reference/pre_20121213_1/source/pre_20121213_1.de.pdf,Geldpolitische Lagebeurteilung vom 13. Dezember 2012
151,/de/mmr/reference/pre_20121204/source/pre_20121204.de.pdf,Emissionskalender der Bundesanleihen für das Jahr 2013
152,/de/mmr/reference/pre_20121120/source/pre_20121120.de.pdf,Vermögen der privaten Haushalte 2011
153,/de/mmr/reference/pre_20121031/source/pre_20121031.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. September 2012
154,/de/mmr/reference/pre_20121003/source/pre_20121003.de.pdf,Der Schweizer Franken - Währungsgeschichte der Schweiz
155,/de/mmr/reference/pre_20120928/source/pre_20120928.de.pdf,Jean-Marc Falter neuer SNB-Delegierter für Wirtschaftskontakte in der Region Genf
156,/de/mmr/reference/pre_20120927/source/pre_20120927.de.pdf,Schweizerische Nationalbank optimiert Immobilienportfolio: Kauf der Liegenschaft Metropol in Zürich
157,/de/mmr/reference/pre_20120913/source/pre_20120913.de.pdf,Geldpolitische Lagebeurteilung vom 13. September 2012
158,/de/mmr/reference/pre_20120904/source/pre_20120904.de.pdf,20 Jahre Mitgliedschaft der Schweiz in IWF und Weltbank 
159,/de/mmr/reference/pre_20120827/source/pre_20120827.de.pdf,Schweizerische Nationalbank - kein Antrag auf Aktivierung des antizyklischen Kapitalpuffers
160,/de/mmr/reference/pre_20120816/source/pre_20120816.de.pdf,Die Zahlungsbilanz der Schweiz im Jahr 2011
161,/de/mmr/reference/pre_20120731/source/pre_20120731.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. Juni 2012
162,/de/mmr/reference/pre_20120625/source/pre_20120625.de.pdf,Swap-Abkommen zwischen der Schweizerischen Nationalbank und der polnischen Zentralbank
163,/de/mmr/reference/pre_20120614_2/source/pre_20120614_2.de.pdf,Die Banken in der Schweiz 2011
164,/de/mmr/reference/pre_20120614_1/source/pre_20120614_1.de.pdf,Geldpolitische Lagebeurteilung vom 14. Juni 2012 
165,/de/mmr/reference/pre_20120430/source/pre_20120430.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 31. März 2012
166,/de/mmr/reference/pre_20120425/source/pre_20120425.de.pdf,Finanztransaktionen Kashya Hildebrand: Überprüfungsergebnis liegt vor 
167,/de/mmr/reference/pre_20120418_2/source/pre_20120418_2.de.pdf,"Nationalbankdirektorium: Thomas Jordan wird Präsident, Jean-Pierre Danthine Vizepräsident. Fritz Zurbrügg ist neues Mitglied."
168,/de/mmr/reference/pre_20120418_3/source/pre_20120418_3.de.pdf,"Bankrat der Nationalbank: Jean Studer wird neuer Präsident, Olivier Steimer neuer Vizepräsident. Christoph Lengwiler und Shelby du Pasquier sind neue Mitglieder. "
169,/de/mmr/reference/pre_20120418_1/source/pre_20120418_1.de.pdf,Nationalbank verstärkt Compliance
170,/de/mmr/reference/pre_20120315/source/pre_20120315.de.pdf,Geldpolitische Lagebeurteilung vom 15. März 2012
171,/de/mmr/reference/pre_20120312/source/pre_20120312.de.pdf,Der Bankrat der Nationalbank verabschiedet neues Reglement für Eigengeschäfte von Mitgliedern der Bankleitung
172,/de/mmr/reference/pre_20120308/source/pre_20120308.de.pdf,Jahresergebnis 2011 der Schweizerischen Nationalbank
173,/de/mmr/reference/pre_20120307/source/pre_20120307.de.pdf,Finanztransaktionen des Nationalbank-Direktoriums: KPMG legt Prüfbericht vor
174,/de/mmr/reference/pre_20120217/source/pre_20120217.de.pdf,Bankrat der Nationalbank: Sämtliche Arbeiten auf Kurs - Dr. Hansueli Raggenbass kandidiert nicht mehr für das Bankratspräsidium
175,/de/mmr/reference/pre_20120209/source/pre_20120209.de.pdf,Emission der neuen Banknotenserie verzögert sich
176,/de/mmr/reference/pre_20120119/source/pre_20120119.de.pdf,"100 Jahre Schweizerische Nationalbank am Bundesplatz 1, Bern"
177,/de/mmr/reference/pre_20120114/source/pre_20120114.de.pdf,Treffen der Bellagio Group in der Schweiz
178,/de/mmr/reference/pre_20120113/source/pre_20120113.de.pdf,Nationalbank erwartet Jahresgewinn von 13 Milliarden Franken und wird Ausschüttung vornehmen können
179,/de/mmr/reference/pre_20120109_2/source/pre_20120109_2.de.pdf,Der Bankrat zum Rücktritt von Nationalbankpräsident Philipp Hildebrand 
180,/de/mmr/reference/pre_20120109_3/source/pre_20120109_3.de.pdf,"Erklärung von Philipp M. Hildebrand, Präsident des Direktoriums der Schweizerischen Nationalbank, zu seinem Rücktritt"
181,/de/mmr/reference/pre_20120109_4/source/pre_20120109_4.de.pdf,SNB-Direktorium bedauert Rücktritt von Philipp Hildebrand
182,/de/mmr/reference/pre_20120109_1/source/pre_20120109_1.de.pdf,Nationalbankpräsident Philipp Hildebrand stellt sein Amt per sofort zur Verfügung 
183,/de/mmr/reference/pre_20120107/source/pre_20120107.de.pdf,Bankrat der Nationalbank verstärkt Kontrolle 
184,/de/mmr/reference/pre_20120104/source/pre_20120104.de.pdf,SNB veröffentlicht internes Reglement über Eigengeschäfte und Prüfungsbericht von PWC
185,/de/mmr/reference/pre_20111223/source/pre_20111223.de.pdf,Mitteilung des Bankrats der Schweizerischen Nationalbank: Gerüchte gegen den Präsidenten des Direktoriums erweisen sich als haltlos
186,/de/mmr/reference/pre_20111220/source/pre_20111220.de.pdf,Beförderungen bei der Schweizerischen Nationalbank 
187,/de/mmr/reference/pre_20111215/source/pre_20111215.de.pdf,Geldpolitische Lagebeurteilung vom 15. Dezember 2011 
188,/de/mmr/reference/pre_20111213_1/source/pre_20111213_1.de.pdf,Direktinvestitionen 2010 
189,/de/mmr/reference/pre_20111213_2/source/pre_20111213_2.de.pdf,Auslandvermögen der Schweiz 2010
190,/de/mmr/reference/pre_20111207/source/pre_20111207.de.pdf,Emissionskalender der Bundesanleihen für das Jahr 2012
191,/de/mmr/reference/pre_20111130/source/pre_20111130.de.pdf,Koordinierte Massnahmen der Zentralbanken gegen die angespannte Lage an den internationalen Geldmärkten
192,/de/mmr/reference/pre_20111121/source/pre_20111121.de.pdf,Neue Vereinbarung über die Gewinnausschüttung der SNB
193,/de/mmr/reference/pre_20111118/source/pre_20111118.de.pdf,Vermögen der privaten Haushalte 2010
194,/de/mmr/reference/pre_20111104_1/source/pre_20111104_1.de.pdf,Ernennung Philipp Hildebrands zum Vize-Vorsitzenden des Financial Stability Board
195,/de/mmr/reference/pre_20111104_2/source/pre_20111104_2.de.pdf,Erklärung Philipp Hildebrands zu seiner Ernennung zum Vize-Vorsitzenden des Financial Stability Board
