Bezirk_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_ABK,Bezirk_Name,Kanton_ID,Kanton_Name
2013,83,71,69,54,97,75,58,52,49,36,38,33,68,40,67,44,131,107,103,165,90,154,125,155,167,103,158,130,145,130,116,149,131,157,163,TG,Kreuzlingen,20,Thurgau
2014,50,52,40,40,50,49,29,29,47,25,26,34,29,52,63,44,92,66,78,97,65,213,108,167,152,184,120,134,122,112,123,104,113,108,162,TG,Münchwilen,20,Thurgau
2015,55,45,44,36,33,56,26,29,33,14,28,46,27,50,39,38,97,76,75,113,60,167,115,205,184,209,175,128,156,107,91,126,152,134,130,TG,Weinfelden,20,Thurgau
2101,268,208,127,90,180,184,203,93,165,124,165,143,103,139,123,186,147,183,336,306,190,374,262,263,166,301,447,622,420,345,303,255,326,304,263,TI,Bellinzona,21,Tessin
2102,3,15,2,2,1,10,5,1,5,3,7,7,2,5,5,3,1,2,2,5,12,11,7,9,12,4,22,9,14,6,12,11,11,8,5,TI,Blenio,21,Tessin
2103,58,45,32,29,42,34,34,43,38,23,50,37,30,32,32,31,15,34,40,46,32,50,46,82,29,70,71,55,61,46,55,41,44,44,42,TI,Leventina,21,Tessin
2104,308,216,140,178,226,242,216,132,198,136,134,171,158,132,133,156,155,183,296,354,270,449,363,344,284,397,404,403,357,269,252,261,391,393,306,TI,Locarno,21,Tessin
2105,746,407,341,440,561,595,537,368,424,324,359,399,497,428,428,603,548,658,941,1225,807,1216,910,896,721,802,1143,973,877,601,821,731,1053,942,819,TI,Lugano,21,Tessin
2106,371,255,120,188,286,265,261,188,186,149,158,200,184,186,230,253,227,386,382,399,305,473,311,267,225,236,352,232,325,195,291,271,265,237,226,TI,Mendrisio,21,Tessin
2107,90,42,27,29,44,24,57,21,47,29,35,48,27,34,23,38,44,20,66,61,47,47,66,55,67,96,108,112,122,99,99,92,85,99,63,TI,Riviera,21,Tessin
2108,12,16,10,10,13,12,12,12,8,10,6,6,13,5,7,11,3,16,13,7,4,13,8,14,5,12,12,13,13,15,20,6,12,9,14,TI,Vallemaggia,21,Tessin
2221,65,45,28,56,54,71,38,40,34,24,33,23,39,45,39,65,45,93,46,74,90,153,132,157,121,161,276,329,377,294,239,241,271,210,260,VD,Aigle,22,Waadt
2222,32,35,36,22,35,43,29,9,22,28,34,34,35,39,28,45,37,46,29,83,87,93,107,106,207,174,233,232,228,177,111,152,184,187,164,VD,Broye-Vully,22,Waadt
2223,43,39,35,32,34,47,44,32,27,32,31,37,42,45,33,40,37,58,41,62,81,124,95,117,115,140,174,140,191,121,120,135,170,183,226,VD,Gros-de-Vaud,22,Waadt
2224,121,82,88,67,88,112,124,74,81,87,103,89,89,129,120,127,122,190,105,182,202,351,281,306,347,423,557,521,498,486,394,443,439,428,462,VD,Jura-Nord vaudois,22,Waadt
2225,407,257,340,322,457,431,347,303,284,233,308,299,436,387,521,442,546,629,306,623,564,1182,642,704,1279,858,1587,1511,1541,1174,1140,1203,1165,965,964,VD,Lausanne,22,Waadt
2226,91,105,120,103,135,119,149,91,123,92,117,117,130,125,144,131,166,180,87,188,149,301,183,189,212,309,310,310,368,257,253,272,279,304,321,VD,Lavaux-Oron,22,Waadt
2227,126,108,66,98,107,122,131,101,80,96,99,78,94,124,99,135,175,158,106,199,225,403,240,273,320,350,390,342,431,391,299,295,393,393,451,VD,Morges,22,Waadt
2228,168,90,140,112,144,217,192,122,138,109,134,170,227,196,218,253,290,366,193,341,347,512,399,371,524,583,688,620,667,587,508,595,756,708,710,VD,Nyon,22,Waadt
2229,151,91,124,116,124,137,122,111,91,102,93,127,161,178,204,188,204,265,168,263,308,574,431,479,589,759,1003,1001,952,632,581,599,615,573,589,VD,Ouest lausannois,22,Waadt
2230,155,111,143,105,149,158,156,81,116,96,96,120,125,138,131,177,184,235,161,230,286,481,308,292,393,522,732,624,670,459,555,486,525,459,499,VD,Riviera-Pays-d'Enhaut,22,Waadt
2301,13,10,21,9,21,16,20,15,15,13,5,19,27,40,18,22,20,27,12,36,39,15,40,37,38,47,43,29,80,64,89,94,67,34,80,VS,Brig,23,Wallis
2302,17,13,20,7,25,19,17,27,22,15,20,20,28,16,17,17,27,41,30,53,28,35,74,44,36,72,102,34,82,94,123,142,200,154,224,VS,Conthey,23,Wallis
2303,20,10,16,5,6,14,2,13,9,13,4,11,10,9,11,13,20,23,16,22,18,38,27,22,24,36,21,16,16,42,36,20,49,52,54,VS,Entremont,23,Wallis
2304,1,1,0,4,1,4,1,10,1,2,7,1,4,1,1,3,11,5,1,5,2,3,5,14,3,11,16,9,1,27,19,23,9,4,14,VS,Goms,23,Wallis
2305,4,4,5,7,2,17,4,3,4,3,3,8,6,6,5,11,6,7,7,10,9,21,8,15,11,5,16,8,12,14,32,15,26,12,28,VS,Hérens,23,Wallis
2306,16,8,5,4,0,4,1,6,7,8,5,12,8,11,3,9,4,18,10,8,17,10,14,20,17,10,16,15,53,53,27,71,21,30,33,VS,Leuk,23,Wallis
2307,64,32,28,32,28,37,32,46,21,14,21,34,47,57,41,69,51,69,53,64,74,76,99,92,99,143,174,146,188,288,418,313,324,244,277,VS,Martigny,23,Wallis
2308,57,32,49,51,34,73,40,41,41,42,27,51,52,67,51,94,74,116,65,81,73,95,71,94,113,206,176,158,236,260,331,239,227,200,226,VS,Monthey,23,Wallis
